COD_PROV,PROVINCIA,Anyo,Periodo,pernoctaciones,viajeros,_meta.fecha_extraccion
18,Granada,2025,M01,4215.0,2156.0,2026-09-14T13:39:22.163107
18,Granada,2025,M02,7042.0,3680.0,2026-09-14T13:39:22.163107
18,Granada,2025,M03,4518.0,2374.0,2026-09-14T13:39:22.163107
18,Granada,2025,M04,8012.0,3598.0,2026-09-14T13:39:22.163107
18,Granada,2025,M05,5425.0,2683.0,2026-09-14T13:39:22.163107
18,Granada,2025,M06,5747.0,2740.0,2026-09-14T13:39:22.163107
18,Granada,2025,M07,8931.0,3181.0,2026-09-14T13:39:22.163107
18,Granada,2025,M08,16547.0,4528.0,2026-09-14T13:39:22.163107
18,Granada,2025,M09,7154.0,2911.0,2026-09-14T13:39:22.163107
18,Granada,2025,M10,6104.0,2837.0,2026-09-14T13:39:22.163107
18,Granada,2025,M11,5167.0,2669.0,2026-09-14T13:39:22.163107
18,Granada,2025,M12,9470.0,3729.0,2026-09-14T13:39:22.163107
18,Granada,2026,M01,4676.0,2187.0,2026-09-14T13:39:22.163107
18,Granada,2026,M02,4920.0,2358.0,2026-09-14T13:39:22.163107
18,Granada,2026,M03,3530.0,1833.0,2026-09-14T13:39:22.163107
18,Granada,2026,M04,7203.0,2798.0,2026-09-14T13:39:22.163107
18,Granada,2026,M05,5136.0,2361.0,2026-09-14T13:39:22.163107
