COD_PROV,PROVINCIA,Anyo,Periodo,establecimientos_abiertos,grado_ocupacion_finsemana,grado_ocupacion_habitaciones,grado_ocupacion_plazas,plazas_estimadas,_meta.fecha_extraccion
08,Barcelona,2025,M05,1190.0,70.71,80.6,66.79,157589.0,2026-09-14T13:39:16.852415
08,Barcelona,2025,M06,1209.0,74.35,81.5,69.51,164510.0,2026-09-14T13:39:16.852415
08,Barcelona,2025,M07,1211.0,76.94,82.31,74.18,164620.0,2026-09-14T13:39:16.852415
08,Barcelona,2025,M08,1188.0,78.27,83.85,77.32,164161.0,2026-09-14T13:39:16.852415
08,Barcelona,2025,M09,1197.0,72.75,82.32,67.92,163189.0,2026-09-14T13:39:16.852415
08,Barcelona,2025,M10,1176.0,69.32,80.56,66.9,156032.0,2026-09-14T13:39:16.852415
08,Barcelona,2025,M11,1074.0,62.55,73.22,57.19,127607.0,2026-09-14T13:39:16.852415
08,Barcelona,2025,M12,1058.0,58.34,60.87,51.87,125049.0,2026-09-14T13:39:16.852415
08,Barcelona,2026,M01,1028.0,55.42,63.14,51.11,126594.0,2026-09-14T13:39:16.852415
08,Barcelona,2026,M02,1030.0,63.16,73.42,58.47,127060.0,2026-09-14T13:39:16.852415
08,Barcelona,2026,M03,1119.0,62.61,73.6,58.96,134881.0,2026-09-14T13:39:16.852415
08,Barcelona,2026,M04,1157.0,70.13,77.39,64.95,144806.0,2026-09-14T13:39:16.852415
08,Barcelona,2026,M05,1191.0,72.02,80.64,67.7,159804.0,2026-09-14T13:39:16.852415
08,Barcelona,2026,M06,1224.0,72.88,80.22,67.94,164278.0,2026-09-14T13:39:16.852415
08,Barcelona,2026,M07,1212.0,79.3,85.0,76.21,160122.0,2026-09-14T13:39:16.852415
09,Burgos,2024,M08,181.0,68.02,68.29,63.7,9015.0,2026-09-14T13:39:16.852415
09,Burgos,2024,M09,167.0,65.16,65.75,56.17,8751.0,2026-09-14T13:39:16.852415
09,Burgos,2024,M10,170.0,60.8,60.56,51.24,8667.0,2026-09-14T13:39:16.852415
09,Burgos,2024,M11,146.0,57.33,55.77,45.32,7949.0,2026-09-14T13:39:16.852415
09,Burgos,2024,M12,143.0,52.16,45.28,39.3,7574.0,2026-09-14T13:39:16.852415
09,Burgos,2025,M01,135.0,40.6,38.13,31.03,7504.0,2026-09-14T13:39:16.852415
09,Burgos,2025,M02,142.0,47.9,42.73,34.25,7871.0,2026-09-14T13:39:16.852415
09,Burgos,2025,M03,137.0,52.34,48.25,39.5,7794.0,2026-09-14T13:39:16.852415
09,Burgos,2025,M04,167.0,56.89,56.44,48.75,8722.0,2026-09-14T13:39:16.852415
09,Burgos,2025,M05,162.0,63.21,66.24,53.95,8433.0,2026-09-14T13:39:16.852415
09,Burgos,2025,M06,163.0,61.33,61.55,51.3,8423.0,2026-09-14T13:39:16.852415
09,Burgos,2025,M07,183.0,64.94,62.43,55.96,9149.0,2026-09-14T13:39:16.852415
09,Burgos,2025,M08,187.0,65.72,64.85,60.06,9178.0,2026-09-14T13:39:16.852415
09,Burgos,2025,M09,174.0,63.03,66.56,55.09,8569.0,2026-09-14T13:39:16.852415
09,Burgos,2025,M10,179.0,61.28,62.41,51.52,8905.0,2026-09-14T13:39:16.852415
09,Burgos,2025,M11,167.0,51.33,53.84,43.37,8391.0,2026-09-14T13:39:16.852415
09,Burgos,2025,M12,156.0,49.53,44.62,37.95,7771.0,2026-09-14T13:39:16.852415
09,Burgos,2026,M01,151.0,36.44,37.22,29.97,7611.0,2026-09-14T13:39:16.852415
09,Burgos,2026,M02,142.0,41.88,42.88,33.7,7685.0,2026-09-14T13:39:16.852415
09,Burgos,2026,M03,178.0,45.91,47.29,37.28,8453.0,2026-09-14T13:39:16.852415
09,Burgos,2026,M04,192.0,54.33,54.23,45.84,9198.0,2026-09-14T13:39:16.852415
09,Burgos,2026,M05,183.0,55.57,59.03,47.35,8679.0,2026-09-14T13:39:16.852415
09,Burgos,2026,M06,183.0,52.66,55.67,45.56,8921.0,2026-09-14T13:39:16.852415
09,Burgos,2026,M07,179.0,63.34,59.63,53.62,8940.0,2026-09-14T13:39:16.852415
